requirement_id,csv_table_row,一级功能,二级功能,delivery_stage,default_label,alternative_label,status,shared_kernel,scope_note
CORE-001,2,1. 核心数据对象,DNA序列对象,0.1-MVP,native,,complete,,普通用户以统一DNA(data)构造原始单序列并自动标准化；内部DNASequence仍只保存严格序列语义
CORE-002,3,1. 核心数据对象,DNA记录对象,0.1-MVP,native,,complete,,DNA的data与id/description/features/metadata/letter_annotations参数在同一入口附加记录信息；内部DNARecord继续严格校验非空ID、feature范围及注释
CORE-003,4,1. 核心数据对象,DNA数据集对象,0.1-MVP,native,,complete,,DNA接收单条或多条输入且始终返回DNA，下标和切片也保持DNA；DNASet/from_sequences/from_records/read_set作为高级兼容入口保留
CORE-004,5,1. 核心数据对象,特征对象,0.1-MVP,native,,complete,,普通用户通过DNA的features=[mapping]参数内嵌特征；高级DNAFeature不可变保存type、Location、id、strand、label、score、phase、qualifiers和source
CORE-005,6,1. 核心数据对象,Gap对象,0.1-MVP,native,,complete,,保留crossable字段；上下游片段由DNASequence parts表达并由工厂校验
CORE-006,7,1. 核心数据对象,序列类型声明,0.1-MVP,native,,complete,,DNASequence显式保存strict/IUPAC alphabet、linear/circular topology及single/double strandedness；构造时校验符号与声明一致且对象不可变
CORE-007,8,1. 核心数据对象,坐标系统,0.1-MVP,native,,complete,,内部Interval统一0-based半开；import_location/export_location在四种0/1-based开闭体系间严格转换，跨环状原点需显式sequence_length并转CompoundLocation
CORE-008,9,1. 核心数据对象,结果对象,0.1-MVP,native,,complete,,MetricResult完整保存value、unit、method、algorithm_version、parameters、conditions、uncertainty、provenance和issues，并通过JSON边界测试
IO-001,10,2. 文件读写与数据管理,序列格式,0.1-MVP,reimplementation,adapter,complete,,统一read以mode=dna返回单条或多条DNA并以mode=stream处理大文件；read_one/read_set兼容保留；内部codec覆盖FASTA、FASTQ及明确GenBank子集并保持资源上限
IO-002,11,2. 文件读写与数据管理,注释格式,0.2-0.4-ADVANCED,reimplementation,adapter,complete,,内部严格格式codec覆盖GFF3单区间且无embedded FASTA、BED3-BED6和AGP 2.1，含坐标转换、原子写出及读取侧连续性与资源边界校验；写接口当前无独立输出资源上限
IO-003,12,2. 文件读写与数据管理,表格格式,0.1-MVP,native,adapter,complete,table_io,TableSchema/read_table/export_table以显式schema有界读写CSV/TSV/JSON/Parquet；类型、null、schema版本及row/column/cell/input/output/decoded字节上限均测试，Parquet依赖io extra
IO-004,13,2. 文件读写与数据管理,压缩文件,0.1-MVP,native,,complete,,ReadConfig/WriteConfig以auto/none/gzip显式控制统一序列格式的gzip路径或流读写，并保留所有权、输入字节及压缩级别边界；输出只在显式配置max_output_bytes时限制实际压缩字节
IO-005,14,2. 文件读写与数据管理,大文件访问,0.1-MVP,native,adapter,complete,,native FASTA/FASTQ流式读取并支持iter_chunks；本地未压缩普通FASTA和严格四行FASTQ可按ID/0-based坐标/strand索引并保持FASTQ质量同步，gzip/远程/bgzip明确不在当前定义域
IO-006,15,2. 文件读写与数据管理,元数据管理,0.1-MVP,native,,complete,,with_metadata、merge_metadata、filter_by_metadata、select_metadata和validate_metadata直接接受DNA；变换类接口对DNA输入继续返回DNA并保留标准化审计
